ground_truth,predictions
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,ATTACK_SELF
REST,ATTACK_OTHER
REST,ATTACK_OTHER
REST,ATTACK_OTHER
REST,ATTACK_OTHER
REST,ATTACK_OTHER
REST,ATTACK_OTHER
REST,ATTACK_OTHER
REST,ATTACK_OTHER
REST,ATTACK_OTHER
REST,ATTACK_OTHER
REST,ATTACK_OTHER
REST,ATTACK_OTHER
REST,DEPRECIATION
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,REST
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,WITHDRAWAL
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,DEPRECIATION
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,DEPRECIATION
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,ATTACK_SELF
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,AVOIDANCE
REST,DEPRECIATION
REST,DEPRECIATION
REST,DEPRECIATION
