ground_truth,predictions
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
REST,WITHDRAWAL
