OriginalIndex,Predicted,GroundTruth
786,REST,REST
787,DEPRECIATION,REST
788,REST,REST
789,REST,REST
790,REST,REST
791,REST,REST
792,AVOIDANCE,REST
793,REST,REST
794,REST,REST
795,REST,REST
796,REST,REST
797,REST,REST
798,REST,REST
799,REST,REST
800,REST,REST
801,REST,REST
802,REST,REST
803,REST,REST
804,REST,REST
805,REST,REST
806,REST,REST
807,REST,REST
808,REST,REST
809,REST,REST
810,REST,REST
811,REST,REST
812,REST,REST
813,REST,REST
814,REST,REST
815,REST,REST
816,REST,REST
817,WITHDRAWAL,REST
818,REST,REST
819,REST,REST
820,REST,REST
821,REST,REST
822,AVOIDANCE,REST
823,REST,REST
824,REST,REST
825,REST,REST
826,REST,REST
827,REST,REST
828,REST,REST
829,REST,REST
830,REST,REST
831,REST,REST
832,STABILIZE_SELF,REST
833,REST,REST
834,REST,REST
835,REST,REST
836,REST,REST
837,REST,REST
838,REST,REST
839,REST,REST
840,REST,REST
841,REST,REST
842,REST,REST
843,REST,REST
844,REST,REST
845,REST,REST
846,REST,REST
847,REST,REST
848,REST,REST
849,REST,REST
850,REST,REST
851,REST,REST
852,REST,REST
853,ATTACK_OTHER,REST
854,AVOIDANCE,REST
855,REST,REST
856,REST,REST
857,REST,REST
858,REST,REST
859,REST,REST
860,REST,REST
861,REST,REST
862,REST,REST
863,REST,REST
864,ATTACK_OTHER,REST
865,REST,REST
866,REST,REST
867,REST,REST
868,AVOIDANCE,REST
869,REST,REST
870,REST,REST
871,REST,REST
872,REST,REST
873,REST,REST
874,REST,REST
875,REST,REST
876,REST,REST
877,REST,REST
878,REST,REST
879,REST,REST
880,REST,REST
881,REST,REST
882,REST,REST
883,REST,REST
884,REST,REST
885,REST,REST
886,REST,REST
887,REST,REST
888,REST,REST
889,REST,REST
890,REST,REST
891,REST,REST
892,REST,REST
893,REST,REST
894,REST,REST
895,REST,REST
896,REST,REST
897,WITHDRAWAL,REST
898,REST,REST
899,REST,REST
900,REST,REST
901,REST,REST
902,REST,REST
903,REST,REST
904,REST,REST
905,REST,REST
906,REST,REST
907,REST,REST
908,REST,REST
909,ATTACK_OTHER,REST
910,REST,REST
911,ATTACK_OTHER,REST
912,REST,REST
913,DEPRECIATION,REST
914,REST,REST
915,STABILIZE_SELF,REST
916,WITHDRAWAL,REST
917,REST,REST
918,REST,REST
919,REST,REST
920,REST,REST
921,REST,REST
922,ATTACK_SELF,REST
923,REST,REST
924,ATTACK_OTHER,REST
925,REST,REST
926,REST,REST
927,REST,REST
928,STABILIZE_SELF,REST
929,REST,REST
930,REST,REST
931,REST,REST
932,REST,REST
933,REST,REST
934,REST,REST
935,REST,REST
936,ATTACK_SELF,REST
937,REST,REST
938,REST,REST
939,REST,REST
940,REST,REST
941,REST,REST
942,STABILIZE_SELF,REST
943,ATTACK_SELF,REST
944,DEPRECIATION,REST
945,REST,REST
946,REST,REST
947,REST,REST
948,REST,REST
949,REST,REST
950,REST,REST
951,REST,REST
952,REST,REST
953,REST,REST
954,REST,REST
955,REST,REST
956,REST,REST
957,REST,REST
958,REST,REST
959,STABILIZE_SELF,REST
960,REST,REST
961,STABILIZE_SELF,REST
962,REST,REST
963,REST,REST
964,REST,REST
965,REST,REST
966,STABILIZE_SELF,REST
967,REST,REST
968,REST,REST
969,ATTACK_OTHER,REST
970,REST,REST
971,REST,REST
972,REST,REST
973,REST,REST
974,REST,REST
975,REST,REST
976,REST,REST
977,REST,REST
978,ATTACK_OTHER,REST
979,ATTACK_SELF,REST
980,REST,REST
981,REST,REST
982,REST,REST
983,REST,REST
984,REST,REST
985,REST,REST
986,REST,REST
987,REST,REST
988,REST,REST
989,REST,REST
990,REST,REST
991,REST,REST
992,REST,REST
993,DEPRECIATION,REST
994,REST,REST
995,REST,REST
996,REST,REST
997,REST,REST
998,REST,REST
999,REST,REST
1000,REST,REST
1001,REST,REST
1002,REST,REST
1003,AVOIDANCE,REST
1004,AVOIDANCE,REST
1005,REST,REST
1006,REST,REST
1007,AVOIDANCE,REST
1008,REST,REST
1009,REST,REST
1010,REST,REST
1011,AVOIDANCE,REST
1012,REST,REST
1013,WITHDRAWAL,REST
1014,REST,REST
1015,REST,REST
1016,REST,REST
1017,REST,REST
1018,REST,REST
1019,REST,REST
1020,ATTACK_OTHER,REST
1021,REST,REST
1022,REST,REST
1023,REST,REST
1024,REST,REST
1025,REST,REST
1026,REST,REST
1027,REST,REST
1028,REST,REST
1029,REST,REST
1030,REST,REST
1031,REST,REST
1032,REST,REST
1033,REST,REST
1034,REST,REST
1035,REST,REST
1036,ATTACK_OTHER,REST
1037,REST,REST
1038,REST,REST
1039,REST,REST
1040,WITHDRAWAL,REST
1041,REST,REST
1042,REST,REST
1043,REST,REST
1044,REST,REST
1045,REST,REST
1046,REST,REST
1047,REST,REST
1048,REST,REST
1049,REST,REST
